n;id;age;gender;foreigner;country_orig;orig_in_zone;mpio_orig;resid_in_zone;mpio_resid;resid_in_dept;years_resid;activity;sector;econ_sector;educ;env_home;dwel_type;wages_smmv;opp_city_nat;for_wet_pub;junt_loc_ef;partic_com
12;3905;46;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;46;employee;private or independant;Banks and Finance;Pregraduate;Urban;Property;6;3;4;3;3
13;1017;57;male;FALSE;Colombia;TRUE;Zipaquirá;TRUE;Bogotá D.C.;TRUE;30;employee;private or independant;Other;Pregraduate;Urban;Rent;3;3;2;3;3
14;3603;34;female;FALSE;Colombia;FALSE;Girardot;TRUE;Bogotá D.C.;TRUE;15;independent;private or independant;Homemaker;Secundary (bachillerato);Urban;Family;1;4;4;4;3
15;3894;24;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;24;employee;private or independant;Other;Specialization;Urban;Family;4;1;1;2;3
16;1018;57;male;FALSE;Colombia;FALSE;Cartagena de Indias;TRUE;Bogotá D.C.;TRUE;30;employee;public;Health;Specialization;Urban;Property;10;4;4;2;3
17;3882;48;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;48;independent;private or independant;Transport;Secundary (bachillerato);Urban;Family;4;2;1;3;3
18;3610;42;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;42;employee;private or independant;Personal services;Specialization;Suburb;Property;8;3;4;3;2
19;3890;36;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;36;employee;private or independant;Personal services;Pregraduate;Urban;Property;7;2;3;4;2
20;3582;81;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;81;independent;private or independant;Education;Specialization;Urban;Property;5;3;4;2;2
21;3607;45;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;45;employee;private or independant;Banks and Finance;Specialization;Urban;Property;8;NA;2;2;NA
22;1021;28;male;FALSE;Colombia;FALSE;Cartagena de Indias;TRUE;Bogotá D.C.;TRUE;4;employee;private or independant;Commerce;Secundary (bachillerato);Urban;Rent;3;3;2;3;3
23;1028;45;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Chía;TRUE;1;employee;private or independant;Other;Specialization;Suburb;Rent;7;2;3;4;4
24;3743;47;female;FALSE;Colombia;FALSE;Enciso;TRUE;Bogotá D.C.;TRUE;29;independent;private or independant;Commerce;Secundary (bachillerato);Urban;Property;3;3;5;3;3
25;3601;43;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;43;employee;private or independant;Personal services;Pregraduate;Urban;Rent;5;3;3;3;3
26;3877;52;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;52;employee;private or independant;Commerce;Pregraduate;Urban;Property;5;4;2;2;2
27;3599;61;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;60;employee;private or independant;Commerce;Pregraduate;Urban;Property;6;NA;2;2;NA
28;3593;34;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;21;employee;private or independant;Education;Specialization;Urban;Rent;4;5;1;1;NA
29;3333;59;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;59;employee;private or independant;Other;Secundary (bachillerato);Urban;Property;1;3;2;4;4
30;1033;57;female;FALSE;Colombia;FALSE;Barranquilla;TRUE;Bogotá D.C.;TRUE;30;employee;public;Personal services;Specialization;Urban;Property;10;4;3;3;2
31;1049;24;female;FALSE;Colombia;FALSE;Santa Marta;TRUE;Bogotá D.C.;TRUE;6;independent;private or independant;Plant production;Pregraduate;Urban;Rent;10;1;1;1;1
32;1054;27;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;22;employee;public;Public administration;Master;Urban;Property;10;2;5;4;3
33;3577;77;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;70;independent;private or independant;Other;Secundary (bachillerato);Urban;Property;5;5;1;5;3
34;3567;48;female;FALSE;Colombia;FALSE;Cali;TRUE;Bogotá D.C.;TRUE;29;employee;private or independant;Health;Pregraduate;Urban;Property;2;4;2;3;3
35;3704;41;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;40;employee;private or independant;Other;Specialization;Urban;Property;10;4;2;3;3
36;3784;45;male;FALSE;Colombia;FALSE;El Calvario;TRUE;Bogotá D.C.;TRUE;25;employee;private or independant;Education;Master;Urban;Property;8;1;3;1;2
37;1083;60;male;FALSE;Colombia;TRUE;Sopó;TRUE;Bogotá D.C.;TRUE;2;independent;private or independant;Commerce;Pregraduate;Urban;Property;7;2;1;4;4
38;1042;56;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Cajicá;TRUE;5;independent;private or independant;Banks and Finance;Pregraduate;Urban;Property;4;3;2;3;3
39;1037;43;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;43;independent;private or independant;Banks and Finance;Specialization;Urban;Property;6;3;1;2;3
40;1001;51;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;50;employee;public;Banks and Finance;Specialization;Urban;Property;8;2;1;4;4
41;3862;30;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;30;employee;private or independant;Public administration;Secundary (bachillerato);Urban;Family;3;2;4;2;3
42;1089;58;female;FALSE;Colombia;FALSE;Rondón;TRUE;Bogotá D.C.;TRUE;2;independent;private or independant;Commerce;Pregraduate;Urban;Property;8;2;1;4;4
43;3864;34;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;34;independent;private or independant;Commerce;Pregraduate;Urban;Property;2;2;2;1;2
44;3586;53;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;52;employee;private or independant;Commerce;Pregraduate;Urban;Property;6;NA;2;2;NA
45;1065;54;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;54;independent;private or independant;Health;Master;Urban;Property;10;3;2;4;1
46;3566;24;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;6;employee;private or independant;Other;Pregraduate;Urban;Family;3;4;4;1;1
47;1066;55;male;FALSE;Colombia;FALSE;Carmen de Carupa;TRUE;Cajicá;TRUE;5;independent;private or independant;Banks and Finance;Pregraduate;Urban;Property;4;3;2;4;4
48;3843;42;female;FALSE;Colombia;FALSE;Cereté;TRUE;Bogotá D.C.;TRUE;22;employee;private or independant;Health;Specialization;Urban;Rent;10;1;3;4;1
49;1078;52;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;51;employee;public;Public administration;Master;Rural;Property;10;2;3;5;3
50;3472;22;male;FALSE;Colombia;TRUE;Bogotá D.C.;FALSE;Mosquera;TRUE;13;employee;private or independant;Transport;Secundary (bachillerato);Suburb;Family;2;2;4;4;1
51;1070;60;female;FALSE;Colombia;FALSE;Cartagena de Indias;TRUE;Bogotá D.C.;TRUE;30;employee;private or independant;Health;Specialization;Urban;Property;4;3;4;3;1
52;3828;57;male;FALSE;Colombia;FALSE;Palmira;TRUE;Bogotá D.C.;TRUE;54;independent;private or independant;Other;Pregraduate;Urban;Property;2;4;2;4;2
53;958;46;female;FALSE;Colombia;FALSE;Santa Marta;TRUE;Bogotá D.C.;TRUE;25;employee;public;Public administration;Secundary (bachillerato);Urban;Property;7;5;1;5;4
54;3850;42;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;42;independent;private or independant;Banks and Finance;Pregraduate;Urban;Family;1;3;5;4;4
55;3570;39;female;FALSE;Colombia;FALSE;Cali;TRUE;Bogotá D.C.;TRUE;5;employee;public;Education;Doctorate;Urban;Property;10;1;2;3;2
56;3692;42;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;42;independent;private or independant;Other;Secundary (bachillerato);Rural;Property;2;2;3;3;3
57;1067;55;male;FALSE;Colombia;FALSE;Gámeza;TRUE;Bogotá D.C.;TRUE;38;employee;public;Banks and Finance;Master;Urban;Property;10;2;2;4;4
58;1087;22;male;FALSE;Colombia;FALSE;Cúcuta;TRUE;Bogotá D.C.;TRUE;5;employee;private or independant;Education;Master;Urban;Rent;4;3;3;3;3
59;3852;60;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;60;independent;private or independant;Commerce;Secundary (bachillerato);Rural;Rent;2;2;2;2;2
60;1088;54;female;FALSE;Colombia;FALSE;Apía;TRUE;Bogotá D.C.;TRUE;40;independent;private or independant;Construction;Pregraduate;Urban;Property;7;4;2;2;3
61;3858;39;male;FALSE;Colombia;FALSE;San Antonio del Tequendama;FALSE;San Antonio del Tequendama;TRUE;39;employee;public;Other;Pregraduate;Urban;Property;4;5;4;3;3
62;3778;48;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;46;employee;public;Education;Pregraduate;Urban;Family;2;2;2;3;3
63;3860;60;male;FALSE;Colombia;FALSE;Toledo;TRUE;Bogotá D.C.;TRUE;7;independent;private or independant;Other;Specialization;Urban;Property;6;1;2;2;2
64;3834;51;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;51;employee;private or independant;Commerce;Secundary (bachillerato);Urban;Rent;1;3;3;3;3
65;3839;51;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;14;employee;private or independant;Education;Specialization;Urban;Family;2;3;4;3;3
66;3816;48;female;FALSE;Colombia;FALSE;Cali;TRUE;Chía;TRUE;20;employee;private or independant;Banks and Finance;Specialization;Urban;Property;6;3;3;3;3
67;3557;29;male;FALSE;Colombia;FALSE;Chiriguaná;TRUE;Bogotá D.C.;TRUE;10;employee;private or independant;Health;Pregraduate;Urban;Rent;5;1;1;2;2
68;3560;42;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;42;employee;private or independant;Banks and Finance;Pregraduate;Urban;Property;7;3;4;3;3
69;3530;42;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;12;employee;private or independant;Personal services;Secundary (bachillerato);Urban;Rent;2;5;4;2;2
70;1105;28;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;28;employee;public;Public administration;Master;Urban;Property;9;1;3;4;4
71;3833;36;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;36;employee;private or independant;Commerce;Secundary (bachillerato);Rural;Rent;2;1;5;3;3
72;1110;48;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;48;employee;private or independant;Banks and Finance;Pregraduate;Urban;Rent;7;3;3;1;3
73;3548;38;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;38;employee;private or independant;Other;Pregraduate;Urban;Property;3;4;4;2;2
74;3536;42;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;42;employee;private or independant;Commerce;Pregraduate;Urban;Property;3;3;4;2;2
75;1111;34;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;13;employee;public;Commerce;Pregraduate;Urban;Property;8;1;2;1;2
76;3639;34;female;FALSE;Colombia;FALSE;Neiva;TRUE;Bogotá D.C.;TRUE;4;employee;public;Other;Specialization;Urban;Rent;3;3;2;3;3
77;3236;36;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;6;employee;private or independant;Banks and Finance;Pregraduate;Urban;Property;2;2;3;3;3
78;3761;33;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;33;employee;private or independant;Banks and Finance;Pregraduate;Urban;Property;3;2;3;1;3
79;3810;40;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;40;employee;private or independant;Commerce;Pregraduate;Urban;Property;3;3;4;2;2
80;3796;35;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;10;employee;private or independant;Construction;Specialization;Urban;Rent;6;2;1;1;1
81;1138;57;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;57;independent;private or independant;Transport;Pregraduate;Urban;Property;6;4;4;4;4
82;1144;46;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;46;employee;public;Public administration;Pregraduate;Urban;Property;6;3;3;4;2
83;670;60;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;60;employee;private or independant;Commerce;Doctorate;Urban;Property;10;3;2;2;2
84;1149;24;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;24;employee;private or independant;Banks and Finance;Specialization;Urban;Property;10;4;2;5;4
85;3534;34;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;34;employee;private or independant;Personal services;Secundary (bachillerato);Urban;Rent;4;2;4;4;3
86;3800;30;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;30;employee;private or independant;Education;Master;Urban;Family;3;4;4;3;4
87;1155;30;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;30;employee;private or independant;Education;Pregraduate;Urban;Rent;10;2;4;3;4
88;1156;25;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;25;employee;private or independant;Education;Pregraduate;Urban;Property;6;4;4;3;4
89;3797;50;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;50;independent;private or independant;Health;Pregraduate;Urban;Property;3;2;2;2;4
90;3791;25;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;25;employee;private or independant;Other;Pregraduate;Urban;Family;6;2;3;4;3
91;4387;51;male;FALSE;Colombia;FALSE;Tunja;TRUE;Bogotá D.C.;TRUE;31;independent;private or independant;Construction;Specialization;Urban;Property;8;NA;4;3;4
92;4527;56;male;FALSE;Colombia;FALSE;Cali;TRUE;Bogotá D.C.;TRUE;50;independent;private or independant;Personal services;Pregraduate;Urban;Rent;2;3;5;3;3
93;1158;52;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;50;independent;private or independant;Other;Master;Urban;Property;8;2;1;4;4
94;1162;59;male;FALSE;Colombia;FALSE;Arjona;TRUE;Bogotá D.C.;TRUE;32;employee;public;Health;Doctorate;Urban;Property;10;4;2;2;5
95;3531;55;female;FALSE;Colombia;FALSE;San Carlos;TRUE;Bogotá D.C.;TRUE;24;employee;private or independant;Homemaker;Secundary (bachillerato);Urban;Family;10;3;3;3;3
96;1145;67;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;50;employee;private or independant;Other;Pregraduate;Urban;Family;4;3;3;3;3
97;4518;27;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;25;independent;private or independant;Other;Pregraduate;Urban;Rent;3;4;4;1;1
98;1154;25;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;25;employee;public;Health;Pregraduate;Urban;Family;5;4;4;3;4
99;1170;57;female;FALSE;Colombia;FALSE;Tasco;TRUE;Bogotá D.C.;TRUE;40;employee;public;Public administration;Specialization;Urban;Property;4;3;2;3;3
100;1169;58;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;57;employee;public;Education;Doctorate;Urban;Property;8;1;1;4;4
101;3803;26;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;26;employee;private or independant;Transport;Secundary (bachillerato);Urban;Rent;4;5;5;1;1
102;1096;65;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;65;employee;public;Health;Pregraduate;Urban;Property;5;2;3;4;4
103;14;54;female;FALSE;Colombia;FALSE;Dagua;TRUE;Bogotá D.C.;TRUE;40;independent;private or independant;Construction;Doctorate;Urban;Property;10;NA;4;3;NA
104;1175;62;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;62;employee;private or independant;Other;Pregraduate;Urban;Family;3;3;NA;3;3
105;3519;45;female;FALSE;Colombia;FALSE;Neiva;TRUE;Bogotá D.C.;TRUE;11;employee;private or independant;Health;Pregraduate;Urban;Property;10;3;3;2;3
106;1184;31;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;31;employee;public;Public administration;Pregraduate;Urban;Property;4;4;4;3;2
107;3512;40;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;40;employee;private or independant;Commerce;Secundary (bachillerato);Urban;Rent;2;2;2;1;1
108;130;50;male;FALSE;Colombia;FALSE;Cartagena de Indias;TRUE;Bogotá D.C.;TRUE;15;employee;private or independant;Commerce;Pregraduate;Urban;Property;10;4;4;4;4
109;1186;60;male;FALSE;Colombia;FALSE;Paz de Río;TRUE;Bogotá D.C.;TRUE;30;independent;private or independant;Commerce;Secundary (bachillerato);Urban;Property;4;4;3;3;4
110;1185;20;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;10;employee;private or independant;Personal services;Secundary (bachillerato);Urban;Rent;1;5;NA;5;NA
111;3510;49;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;49;employee;private or independant;Other;Specialization;Urban;Property;10;3;3;3;3
112;4468;45;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;45;employee;private or independant;Education;Pregraduate;Urban;Family;2;3;2;3;3
113;4514;42;female;FALSE;Colombia;FALSE;Aguazul;TRUE;Bogotá D.C.;TRUE;30;employee;public;Plant production;Pregraduate;Urban;Rent;3;3;3;3;3
114;30;47;female;FALSE;Colombia;FALSE;La Plata;TRUE;Chía;TRUE;10;independent;private or independant;Commerce;Primary;Urban;Property;7;4;1;3;3
115;1180;45;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;45;employee;private or independant;Banks and Finance;Specialization;Urban;Rent;5;2;2;2;2
116;1192;30;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;30;employee;private or independant;Other;Pregraduate;Urban;Rent;3;4;2;2;2
117;1176;48;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;48;independent;private or independant;Construction;Specialization;Urban;Property;10;4;1;2;3
118;56;62;male;FALSE;Colombia;FALSE;Úmbita;TRUE;Bogotá D.C.;TRUE;40;independent;private or independant;Other;Secundary (bachillerato);Urban;Property;6;1;5;5;1
119;1203;61;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;60;employee;private or independant;Homemaker;Secundary (bachillerato);Urban;Property;3;2;2;4;4
120;3504;39;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;39;independent;private or independant;Transport;Secundary (bachillerato);Urban;Rent;2;2;4;1;1
121;1172;44;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;44;independent;private or independant;Other;Specialization;Urban;Property;5;2;2;3;2
122;3787;36;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;36;employee;private or independant;Commerce;Master;Urban;Property;9;3;5;3;3
123;1210;61;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;61;employee;private or independant;Other;Pregraduate;Urban;Rent;3;4;3;2;2
124;4500;45;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;45;employee;public;Personal services;Specialization;Urban;Rent;10;1;2;2;3
125;4501;34;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;34;employee;private or independant;Health;Master;Urban;Rent;10;1;3;2;5
126;4494;28;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;25;employee;private or independant;Construction;Secundary (bachillerato);Urban;Property;3;5;4;1;5
127;1191;50;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;14;employee;private or independant;Transport;Specialization;Urban;Property;7;4;2;2;3
128;4498;58;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;58;independent;public;Transport;Secundary (bachillerato);Urban;Property;4;2;1;3;3
129;3491;49;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;49;employee;public;Public administration;Pregraduate;Urban;Rent;4;2;4;2;4
130;74;50;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;50;employee;private or independant;Education;Master;Urban;Family;3;2;1;4;2
131;3768;44;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;44;employee;private or independant;Banks and Finance;Pregraduate;Urban;Rent;5;1;5;2;2
132;3795;45;female;FALSE;Colombia;FALSE;Girardot;TRUE;Bogotá D.C.;TRUE;35;employee;private or independant;Education;Pregraduate;Urban;Rent;4;5;4;2;2
133;1221;53;male;FALSE;Colombia;FALSE;Jenesano;TRUE;Bogotá D.C.;TRUE;48;independent;public;Transport;Secundary (bachillerato);Urban;Rent;3;3;4;3;2
134;1216;27;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;26;employee;private or independant;Public administration;Pregraduate;Urban;Property;4;2;2;4;4
135;82;50;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;50;independent;private or independant;Other;Secundary (bachillerato);Urban;Family;3;NA;4;4;NA
136;3348;52;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Cajicá;TRUE;6;employee;private or independant;Health;Secundary (bachillerato);Suburb;Rent;5;5;5;2;3
137;4481;56;male;FALSE;Colombia;TRUE;Zipaquirá;TRUE;Bogotá D.C.;TRUE;21;employee;private or independant;Other;Pregraduate;Urban;Property;2;2;4;3;3
138;4491;24;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;24;employee;private or independant;Other;Secundary (bachillerato);Suburb;Rent;6;1;2;4;3
139;4489;21;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;21;employee;private or independant;Personal services;Specialization;Rural;Property;5;3;2;2;NA
140;1243;41;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;41;independent;private or independant;Homemaker;Secundary (bachillerato);Urban;Family;9;4;4;4;3
141;3489;46;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;46;employee;private or independant;Health;Specialization;Urban;Property;10;3;4;2;4
142;104;49;female;FALSE;Colombia;FALSE;Valledupar;TRUE;Bogotá D.C.;TRUE;25;independent;private or independant;Other;Specialization;Urban;Property;5;2;4;2;3
143;4478;41;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;35;employee;private or independant;Other;Pregraduate;Urban;Rent;2;5;3;2;1
144;4483;37;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;37;independent;private or independant;Personal services;Specialization;Urban;Family;10;2;3;1;1
145;3487;53;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;53;independent;private or independant;Health;Specialization;Urban;Rent;9;5;4;3;1
146;1222;62;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;62;employee;private or independant;Other;Pregraduate;Urban;Rent;2;4;3;1;1
147;4482;54;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;54;employee;public;Personal services;Specialization;Rural;Property;5;3;3;2;2
148;3790;37;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;37;employee;public;Public administration;Master;Rural;Property;10;4;2;2;2
149;4469;58;male;FALSE;Colombia;TRUE;Bogotá D.C.;FALSE;Mosquera;TRUE;48;employee;private or independant;Transport;Secundary (bachillerato);Suburb;Property;6;4;4;4;3
150;1253;48;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;48;employee;private or independant;Other;Specialization;Urban;Property;9;4;4;4;2
151;1246;27;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;27;employee;private or independant;Health;Specialization;Urban;Property;3;4;4;4;4
